Actor,Character,SEID
Reuven Bar,Foreign Guy,S08E21
Vince Donvito,Passerby,S08E21
Chris Burmester,Passerby,S08E21
Deck McKenzie,Man,S08E21
Victoria Fischer,Bartender,S08E21
Keith Sellon-Wright,Guy,S08E21
Wayne Knight,Newman,S08E21
John O'Hurley,J Peterman,S08E21
Richard Fancy,Mr Lippman,S08E21
Jerry Seinfeld,Jerry Seinfeld,S08E22
Jason Alexander,George Costanza,S08E22
Julia Louis-Dreyfus,Elaine Benes,S08E22
Michael Richards,Cosmo Kramer,S08E22
Raquel Welch,Herself,S08E22
Molly Shannon,Sam,S08E22
Amanda Peet,Lanette,S08E22
Joe Urla,Dugan,S08E22
Victor Raider-Wexler,Doctor,S08E22
Peter Dennis,Lew,S08E22
Tucker Smallwood,Malcolm,S08E22
Wayne Wilderson,Walter,S08E22
Blake Gibbons,Lyle,S08E22
Adrian Sparks,Man,S08E22
Jane A. Johnston,Woman,S08E22
Lauren Bowles,Waitress,S08E22
Sue Goodman,Clerk,S08E22
Neil Flynn,Cop #1,S08E22
Tom Michael Bailey,Cop #2,S08E22
Denise Bessette,Therapist,S08E22
Dave Mandel,Himself,S08E22
John O'Hurley,J Peterman,S08E22
Jerry Seinfeld,Jerry Seinfeld,S09E01
Jason Alexander,George Costanza,S09E01
Julia Louis-Dreyfus,Elaine Benes,S09E01
Michael Richards,Cosmo Kramer,S09E01
Gordon Jump,Mr Thomassoulo,S09E01
Kristin Davis,Jenna,S09E01
Everett Greenbaum,McMaines,S09E01
Connie Sawyer,Old Woman,S09E01
Matthew Fonda,NBC Executive,S09E01
Chris Parnell,NBC Executive,S09E01
Frank Van Keeken,Vegetable Lasagna,S09E01
Shannon Whirry,Cute Girl,S09E01
Nancy Balbirer,Woman,S09E01
Erica Y. Becoat,Stewardess,S09E01
Torsten Voges,Cab Driver,S09E01
George Georgiadis,Cab Driver,S09E01
Brian Callaway,Passenger,S09E01
Wayne Knight,Newman,S09E01
Steve Hytner,Kenny Bania,S09E01
Patrick Warburton,David Puddy,S09E01
Jerry Seinfeld,Jerry Seinfeld,S09E02
Jason Alexander,George Costanza,S09E02
Julia Louis-Dreyfus,Elaine Benes,S09E02
Michael Richards,Cosmo Kramer,S09E02
Gordon Jump,Mr Thomassoulo,S09E02
Sara Rose Peterson,Claire,S09E02
Jarrad Paul,Darin,S09E02
Ella Joyce,Dean Jones,S09E02
Nancy Balbirer,Alice,S09E02
Brian J. Williams,Glenn,S09E02
Cindy Lu,Worker,S09E02
Patrick Warburton,David Puddy,S09E02
Jerry Seinfeld,Jerry Seinfeld,S09E03
Jason Alexander,George Costanza,S09E03
Julia Louis-Dreyfus,Elaine Benes,S09E03
Michael Richards,Cosmo Kramer,S09E03
Lori Loughlin,Patty,S09E03
Ross Malinger,Adam,S09E03
Matt McCoy,Lloyd Braun,S09E03
Bruce Mahler,Rabbi Glickman,S09E03
Jerry Stiller,Frank Costanza,S09E03
Estelle Harris,Estelle Costanza,S09E03
Richard Fancy,Mr Lippman,S09E03
Jerry Seinfeld,Jerry Seinfeld,S09E04
Jason Alexander,George Costanza,S09E04
Julia Louis-Dreyfus,Elaine Benes,S09E04
Michael Richards,Cosmo Kramer,S09E04
Kellie Waymire,Vivian,S09E04
Audrey Kissel,Tara,S09E04
Colton James,Jimmy,S09E04
Gene Dynarski,Izzy Mandelbaum Jr,S09E04
Yvonne Farrow,Employee,S09E04
Lloyd Bridges,Izzy Mandelbaum,S09E04
Wayne Knight,Newman,S09E04
Barney Martin,Morty Seinfeld,S09E04
Liz Sheridan,Helen Seinfeld,S09E04
Jerry Seinfeld,Jerry Seinfeld,S09E05
Jason Alexander,George Costanza,S09E05
Julia Louis-Dreyfus,Elaine Benes,S09E05
Michael Richards,Cosmo Kramer,S09E05
Laurie Taylor-Williams,Rhisa,S09E05
Toby Huss,Jack,S09E05
Dana Gould,Frankie,S09E05
Richard Kuhlman,Man,S09E05
Montrose Hagins,Old Woman (Betty),S09E05
Peggy Blow,Mail Clerk,S09E05
Clement E. Blake,Dirt Person #1,S09E05
D.A. Johnson,Dirt Person #2,S09E05
Wilford Brimley,Postmaster General Henry Atkins,S09E05
Wayne Knight,Newman,S09E05
Jerry Stiller,Frank Costanza,S09E05
Estelle Harris,Estelle Costanza,S09E05
Patrick Warburton,David Puddy,S09E05
Jerry Seinfeld,Jerry Seinfeld,S09E06
Jason Alexander,George Costanza,S09E06
Julia Louis-Dreyfus,Elaine Benes,S09E06
Michael Richards,Cosmo Kramer,S09E06
Rick Hall,Vet,S09E06
Brent Hinkley,Lou,S09E06
Julia Pennington,Celia,S09E06
Arabella Field,Miranda,S09E06
Jim Fowler,Himself,S09E06
Wayne Knight,Newman,S09E06
John O'Hurley,J Peterman,S09E06
Jerry Stiller,"Frank Costanza (voice only, uncredited)",S09E06
Estelle Harris,"Estelle Costanza (voice only, uncredited)",S09E06
Jerry Seinfeld,Jerry Seinfeld,S09E07
Jason Alexander,George Costanza,S09E07
Julia Louis-Dreyfus,Elaine Benes,S09E07
Michael Richards,Cosmo Kramer,S09E07
Marcia Cross,Sara,S09E07
Daniel Von Bargen,Kruger,S09E07
Larry B. Scott,Arthur Milano,S09E07
David Moreland,Mr Parry,S09E07
Jerry Seinfeld,Jerry Seinfeld,S09E08
Jason Alexander,George Costanza,S09E08
Julia Louis-Dreyfus,Elaine Benes,S09E08
Michael Richards,Cosmo Kramer,S09E08
Brenda Strong,Sue Ellen Mischke,S09E08
Micheal McShane,FDR (Franklin Delano Romanosky),S09E08
Justine Miceli,Nina,S09E08
Bart Braverman,Zubin,S09E08
Noor Shic,Usha,S09E08
Jocelyne Kelly,Model,S09E08
Brian Kaiser,Postman,S09E08
Shelley Malil,Usher,S09E08
Bill Lee Brown,Partygoer,S09E08
Wayne Knight,Newman,S09E08
Heidi Swedberg,Susan Biddle Ross,S09E08
Jerry Seinfeld,Jerry Seinfeld,S09E09
Jason Alexander,George Costanza,S09E09
Julia Louis-Dreyfus,Elaine Benes,S09E09
Michael Richards,Cosmo Kramer,S09E09
James Spader,Jason Hanke,S09E09
Megan Cole,Peggy,S09E09
Kathleen McClellan,Melissa,S09E09
Jack Hackett,Alan,S09E09
Michael Fishman,Gregg,S09E09
David Dunard,Leader,S09E09
Wayne Wilderson,Walter,S09E09
Brian Levinson,Andy,S09E09
Eric Simonson,Friend,S09E09
John O'Hurley,J Peterman,S09E09
Patrick Warburton,David Puddy,S09E09
Jerry Seinfeld,Jerry Seinfeld,S09E10
Jason Alexander,George Costanza,S09E10
Julia Louis-Dreyfus,Elaine Benes,S09E10
Michael Richards,Cosmo Kramer,S09E10
Daniel Von Bargen,Kruger,S09E10
Karen Fineman,Gwen,S09E10
Dave Florek,Harry,S09E10
Kevin Hamilton MacDonald,Denim Vest,S09E10
Tracy Letts,Counterguy,S09E10
Amit Itelman,Employee,S09E10
Stacey Herring,Sandy,S09E10
Colin Malone,Sleazy Guy,S09E10
Jerry Dixon,Customer,S09E10
Jerry Stiller,Frank Costanza,S09E10
Estelle Harris,Estelle Costanza,S09E10
Bryan Cranston,Dr Tim Whatley,S09E10
Jerry Seinfeld,Jerry Seinfeld,S09E11
Jason Alexander,George Costanza,S09E11
Julia Louis-Dreyfus,Elaine Benes,S09E11
Michael Richards,Cosmo Kramer,S09E11
Daniel Hagen,Rick,S09E11
Joel McCrary,Don,S09E11
Michael Kagan,Willie,S09E11
Dee Freeman,Service Assistant,S09E11
Rif Hutton,Salesman,S09E11
Howard Mann,Willie Sr,S09E11
Steve Susskind,Customer #1,S09E11
Loretta Fox,Customer #2,S09E11
Catherine Schreiber,Saleswoman,S09E11
Unknown,Cab Driver (uncredited),S09E11
Patrick Warburton,David Puddy,S09E11
Jerry Seinfeld,Jerry Seinfeld,S09E12
Jason Alexander,George Costanza,S09E12
Julia Louis-Dreyfus,Elaine Benes,S09E12
Michael Richards,Cosmo Kramer,S09E12
Jon Polito,Silvio,S09E12
Pat Finn,Joe Mayo,S09E12
Jennette Robbins,Keri,S09E12
Fitz Houston,COP:,S09E12
Joe Basile,Delivery Guy,S09E12
Lauren Bowles,Waitress,S09E12
Wayne Knight,Newman,S09E12
Patrick Warburton,David Puddy,S09E12
Jerry Seinfeld,Jerry Seinfeld,S09E13
Jason Alexander,George Costanza,S09E13
Julia Louis-Dreyfus,Elaine Benes,S09E13
Michael Richards,Cosmo Kramer,S09E13
Kathy Griffin,Sally Weaver,S09E13
Tracy Nelson,Janet,S09E13
Joe Urla,Dugan,S09E13
Paul Benedict,Mr Elinoff,S09E13
Bart McCarthy,Cab Driver,S09E13
Wayne Knight,Newman,S09E13
John O'Hurley,J Peterman,S09E13
Jerry Seinfeld,Jerry Seinfeld,S09E14
Jason Alexander,George Costanza,S09E14
Julia Louis-Dreyfus,Elaine Benes,S09E14
Michael Richards,Cosmo Kramer,S09E14
Illeana Douglas,Loretta,S09E14
Alex Kapp,Maura,S09E14
Louis Mustillo,Phil,S09E14
Nicholas Paul Walker,Glenn,S09E14
Mary Scheer,Ms Smoth,S09E14
Bonnie McNeil,Alison,S09E14
Rosie Malek-Yonan,Wife,S09E14
Jerry Seinfeld,Jerry Seinfeld,S09E15
Jason Alexander,George Costanza,S09E15
Julia Louis-Dreyfus,Elaine Benes,S09E15
Michael Richards,Cosmo Kramer,S09E15
Grace Zabriskie,Mrs Ross,S09E15
Warren Frost,Mr (Henry) Ross,S09E15
Samuel Bliss Cooper,Darryl,S09E15
Edgar Small,Sid Luckman,S09E15
Vic Helford,Tom,S09E15
Michael McShane,FDR (Franklin Delano Romanosky),S09E15
Bahni Turpin,Waitress #1,S09E15
Constance Zimmer,Waitress #2,S09E15
Jeanette Miller,Old Woman,S09E15
Murray Rubin,Rubin,S09E15
Liz Sheridan,Helen Seinfeld,S09E15
Barney Martin,Morty Seinfeld,S09E15
Jerry Seinfeld,Jerry Seinfeld,S09E16
Jason Alexander,George Costanza,S09E16
Julia Louis-Dreyfus,Elaine Benes,S09E16
Michael Richards,Cosmo Kramer,S09E16
Daniel Von Bargen,Kruger,S09E16
Cindy Ambuehl,Sophie,S09E16
Henry Woronicz,Father Curtis,S09E16
Ursaline Bryant,Dr Wexler,S09E16
Daniel Dae Kim,Student #1,S09E16
Alex Craig Mann,Student #2,S09E16
Brian Posehn,Artie,S09E16
Alec Holland,Co-Worker #1,S09E16
Suli McCullough,Co-Worker #2,S09E16
Patrick Warburton,David Puddy,S09E16
Danny Woodburn,Mickey Abbott,S09E16
Jerry Seinfeld,Jerry Seinfeld,S09E17
Jason Alexander,George Costanza,S09E17
Julia Louis-Dreyfus,Elaine Benes,S09E17
Michael Richards,Cosmo Kramer,S09E17
Jonathan Penner,Zach,S09E17
Ted Rooney,Crichton,S09E17
John Gries,Rusty,S09E17
Sonya Eddy,Rebecca DeMornay,S09E17
Merrin Dungey,Cashier,S09E17
Kevin Ruf,Security Guard,S09E17
Heather Morgan,Server,S09E17
Lauren Bowles,Waitress,S09E17
Mark Daniel Cade,Walter,S09E17
Sloppy Joe,Hobo Joe,S09E17
Wayne Knight,Newman,S09E17
Barney Martin,Morty Seinfeld,S09E17
Liz Sheridan,Helen Seinfeld,S09E17
John O'Hurley,J Peterman,S09E17
Len Lesser,Uncle Leo,S09E17
Jerry Seinfeld,Jerry Seinfeld,S09E18
Jason Alexander,George Costanza,S09E18
Julia Louis-Dreyfus,Elaine Benes,S09E18
Michael Richards,Cosmo Kramer,S09E18
Julia Campbell,Lisi,S09E18
Peter Stormare,Slippery Pete,S09E18
Reuven Bar,Shlomo,S09E18
Sam Shamshak,Sal,S09E18
Wayne Wilderson,Walter,S09E18
Mark Daniel Cade,Other Walter,S09E18
Jack Esformes,Mike,S09E18
Melissa Denton,Kobe,S09E18
Oliver Muirhead,Lubeck,S09E18
Drake Bell,Kenny,S09E18
John O'Hurley,J Peterman,S09E18
Jerry Seinfeld,Jerry Seinfeld,S09E19
Jason Alexander,George Costanza,S09E19
Julia Louis-Dreyfus,Elaine Benes,S09E19
Michael Richards,Cosmo Kramer,S09E19
Daniel Von Bargen,Kruger,S09E19
Angela Featherstone,Cindy,S09E19
Anthony Crivello,Maxwell,S09E19
Markus Flanagan,Charles,S09E19
Sam Whipple,Phone Guy #1,S09E19
Kyle Colerider-Krugh,Phone Guy #2,S09E19
Steve Franken,Brendan,S09E19
Davenia McFadden,Coco,S09E19
Damon Jones,Watkins,S09E19
Chip Chinery,Co-Worker #1,S09E19
Colin McClean,Co-Worker #2,S09E19
Anthony Mangano,Fireman,S09E19
Jerry Seinfeld,Jerry Seinfeld,S09E20
Jason Alexander,George Costanza,S09E20
Julia Louis-Dreyfus,Elaine Benes,S09E20
Michael Richards,Cosmo Kramer,S09E20
Mario Joyner,Lamar,S09E20
Dayton Callie,Cabbie,S09E20
James Karen,Mr Canterman,S09E20
Helen Carey,Mrs Christine Nyhart,S09E20
Yul Vasquez,Bob,S09E20
John Paragon,Cedric,S09E20
Jenica Bergere,Leslie,S09E20
Monica Allison,Gail,S09E20
Marcelo Tubert,Father,S09E20
Armando Molina,Amigo,S09E20
Tom Agna,Gary,S09E20
Tom Dahlgren,Priest,S09E20
Bert Rosario,Man,S09E20
Raoul N. Rizik,Parade Goer,S09E20
Scott Conte,Sketch Guy,S09E20
Mimi Cozzens,Mrs Canterman,S09E20
Alison Martin,Lucy,S09E20
Marc Hirschfeld,Ellis,S09E20
Chip Heller,Policeman,S09E20
Jerry Seinfeld,Jerry Seinfeld,S09E23
Jason Alexander,George Costanza,S09E23
Julia Louis-Dreyfus,Elaine Benes,S09E23
Michael Richards,Cosmo Kramer,S09E23
Peter Blood,Jay Crespi,S09E23
David Byrd,Pharmacist,S09E23
Steve Carlson,Captain Maddox,S09E23
David Dunard,Guard,S09E23
Donna Evans,Woman,S09E23
Geoffrey C. Ewing,Bailiff,S09E23
Warren Frost,Mr (Henry) Ross,S09E23
Keith Hernandez,Himself,S09E23
Scott Jaeck,Officer Vogel,S09E23
Wendle Josepher,Susie,S09E23
Robert Katims,Mr Deensfrei,S09E23
Scott Klace,Guard,S09E23
Bruce Mahler,Rabbi Glickman,S09E23
Ed O'Ross,Det Blake,S09E23
Kevin Page,Stu Chermak,S09E23
James Pickens Jr.,Det Hudson,S09E23
John Pinette,Howie,S09E23
Victor Raider-Wexler,Dr Wexler,S09E23
James Rebhorn,DA Hoyt,S09E23
Peter Riegert,Kimbrough,S09E23
Geraldo Rivera,Himself,S09E23
McNally Sagal,Carol,S09E23
Gay Thomas,O'Neal,S09E23
Myra Turley,Foreman,S09E23
Jane Wells,Herself,S09E23
Grace Zabriskie,Mrs Ross,S09E23
Van Epperson,Passerby,S09E23
Jeff Johnson,Criminal,S09E23
Sean Moran,Man,S09E23
Dianne Turley Travis,Receptionist,S09E23
Jim Zulevic,Bernie,S09E23
Wayne Knight,Newman,S09E23
Jerry Stiller,Frank Costanza,S09E23
Estelle Harris,Estelle Costanza,S09E23
Liz Sheridan,Helen Seinfeld,S09E23
Barney Martin,Morty Seinfeld,S09E23
Steve Hytner,Kenny Bania,S09E23
Len Lesser,Uncle Leo,S09E23
Phil Morris,Jackie Chiles,S09E23
John O'Hurley,J Peterman,S09E23
Patrick Warburton,David Puddy,S09E23
Danny Woodburn,Mickey Abbott,S09E23
